"","model_label","Model_Code","refLabel","refPercent","BpS_Name","OID_","Value","Count","Feature_hoos2","bps_aoi","scls_aoi","MAP_UNIT_SYMBOL","BPS_NAME","total_count","currentPercent"
"31","13050_47_48_E","13050_47_48","E",3,"Southern Interior Low Plateau Dry-Mesic Oak Forest",74,74,129,3,2067,5,"223Ba03","Southern Interior Low Plateau Dry-Mesic Oak Forest",9801,1
"32","13050_47_48_E","13050_47_48","E",3,"Southern Interior Low Plateau Dry-Mesic Oak Forest",154,154,476,4,2067,5,"223Ba04","Southern Interior Low Plateau Dry-Mesic Oak Forest",22789,2
"33","13050_47_48_E","13050_47_48","E",3,"Southern Interior Low Plateau Dry-Mesic Oak Forest",166,166,548,2,2067,5,"223Ba02","Southern Interior Low Plateau Dry-Mesic Oak Forest",33882,1
"34","13050_47_48_E","13050_47_48","E",3,"Southern Interior Low Plateau Dry-Mesic Oak Forest",256,256,514,5,2067,5,"223De01","Southern Interior Low Plateau Dry-Mesic Oak Forest",129463,0
"35","13050_47_48_E","13050_47_48","E",3,"Southern Interior Low Plateau Dry-Mesic Oak Forest",286,286,137,7,2067,5,"223De03","Southern Interior Low Plateau Dry-Mesic Oak Forest",15416,0
"36","13050_47_48_E","13050_47_48","E",3,"Southern Interior Low Plateau Dry-Mesic Oak Forest",328,328,263,6,2067,5,"223De02","Southern Interior Low Plateau Dry-Mesic Oak Forest",19333,1
"37","13050_47_48_E","13050_47_48","E",3,"Southern Interior Low Plateau Dry-Mesic Oak Forest",414,414,150,8,2067,5,"223De04","Southern Interior Low Plateau Dry-Mesic Oak Forest",65587,0
"38","13050_47_48_E","13050_47_48","E",3,"Southern Interior Low Plateau Dry-Mesic Oak Forest",451,451,171,9,2067,5,"223De05","Southern Interior Low Plateau Dry-Mesic Oak Forest",143797,0
"39","13050_47_48_E","13050_47_48","E",3,"Southern Interior Low Plateau Dry-Mesic Oak Forest",504,504,126,10,2067,5,"223De06","Southern Interior Low Plateau Dry-Mesic Oak Forest",120326,0
"40","13050_47_48_Agriculture","13050_47_48","Agriculture",0,"Southern Interior Low Plateau Dry-Mesic Oak Forest",19,19,588,1,2067,180,"223Ba01","Southern Interior Low Plateau Dry-Mesic Oak Forest",64134,0
"41","13050_47_48_Agriculture","13050_47_48","Agriculture",0,"Southern Interior Low Plateau Dry-Mesic Oak Forest",62,62,864,3,2067,180,"223Ba03","Southern Interior Low Plateau Dry-Mesic Oak Forest",9801,8
"42","13050_47_48_Agriculture","13050_47_48","Agriculture",0,"Southern Interior Low Plateau Dry-Mesic Oak Forest",152,152,1767,2,2067,180,"223Ba02","Southern Interior Low Plateau Dry-Mesic Oak Forest",33882,5
