OID_,Value,Count,Feature_hoos2,bps_aoi,evt_aoi,MAP_UNIT_SYMBOL,BPS_MODEL,BPS_NAME,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,EVT_NAME,EVT_PHYS
36,36,11,1,2072,9224,223Ba01,13210_47_48_53_57,South-Central Interior Mesophytic Forest,869,534,86,68,South-Central Interior Small Stream and Riparian Forest,Riparian
37,37,4,1,2085,7975,223Ba01,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,990,0,200,167,Eastern Cool Temperate Close Grown Crop,Agricultural
38,38,137,1,2084,9817,223Ba01,14710_47_48_53_54_57_59_60_61_63,Central Interior and Appalachian Floodplain Systems,613,392,121,80,Northern & Central Ruderal Meadow,Exotic Herbaceous
39,39,1184,1,2072,7905,223Ba01,13210_47_48_53_57,South-Central Interior Mesophytic Forest,869,534,86,68,Eastern Cool Temperate Urban Deciduous Forest,Developed
40,40,1071,1,2072,7977,223Ba01,13210_47_48_53_57,South-Central Interior Mesophytic Forest,869,534,86,68,Eastern Cool Temperate Pasture and Hayland,Agricultural
41,41,637,1,2088,7321,223Ba01,14790_41_42_47_48_50_51_53,Central Interior and Appalachian Swamp Systems,987,0,0,987,South-Central Interior Mesophytic Forest,Hardwood
42,42,445,1,2072,7974,223Ba01,13210_47_48_53_57,South-Central Interior Mesophytic Forest,869,534,86,68,Eastern Cool Temperate Row Crop,Agricultural
43,43,6,1,2088,7925,223Ba01,14790_41_42_47_48_50_51_53,Central Interior and Appalachian Swamp Systems,987,0,0,987,Eastern Cool Temperate Developed Deciduous Forest,Developed
44,44,49,1,2079,7305,223Ba01,14010_43_44_47_48_53,Central Interior Highlands Calcareous Glade and Barrens,19,16,5,3,Southern Interior Low Plateau Dry-Mesic Oak Forest,Hardwood
45,45,441,1,2085,7299,223Ba01,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,990,0,200,167,Developed-Roads,Developed-Roads
