OID_,Value,Count,Feature_hoos2,bps_aoi,scls_aoi,MAP_UNIT_SYMBOL,BPS_MODEL,BPS_NAME,LABEL
52,52,2152.000000000000000,3,2072,120,223Ba03,13210_47_48_53_57,South-Central Interior Mesophytic Forest,Developed
53,53,406.000000000000000,3,2085,3,223Ba03,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,C
54,54,3834.000000000000000,3,2072,180,223Ba03,13210_47_48_53_57,South-Central Interior Mesophytic Forest,Agriculture
55,55,151.000000000000000,3,2084,2,223Ba03,14710_47_48_53_54_57_59_60_61_63,Central Interior and Appalachian Floodplain Systems,B
56,56,1422.000000000000000,3,2084,3,223Ba03,14710_47_48_53_54_57_59_60_61_63,Central Interior and Appalachian Floodplain Systems,C
57,57,3.000000000000000,1,2072,4,223Ba01,13210_47_48_53_57,South-Central Interior Mesophytic Forest,D
58,58,363.000000000000000,3,2072,3,223Ba03,13210_47_48_53_57,South-Central Interior Mesophytic Forest,C
59,59,4235.000000000000000,3,2072,7,223Ba03,13210_47_48_53_57,South-Central Interior Mesophytic Forest,UE
60,60,625.000000000000000,3,2067,120,223Ba03,13050_47_48,Southern Interior Low Plateau Dry-Mesic Oak Forest,Developed
61,61,257.000000000000000,1,2088,6,223Ba01,14790_41_42_47_48_50_51_53,Central Interior and Appalachian Swamp Systems,UN
62,62,864.000000000000000,3,2067,180,223Ba03,13050_47_48,Southern Interior Low Plateau Dry-Mesic Oak Forest,Agriculture
63,63,6.000000000000000,3,2084,5,223Ba03,14710_47_48_53_54_57_59_60_61_63,Central Interior and Appalachian Floodplain Systems,E
64,64,218.000000000000000,3,2088,3,223Ba03,14790_41_42_47_48_50_51_53,Central Interior and Appalachian Swamp Systems,C
65,65,41.000000000000000,3,2072,6,223Ba03,13210_47_48_53_57,South-Central Interior Mesophytic Forest,UN
66,66,957.000000000000000,3,2067,7,223Ba03,13050_47_48,Southern Interior Low Plateau Dry-Mesic Oak Forest,UE
67,67,7.000000000000000,1,2088,2,223Ba01,14790_41_42_47_48_50_51_53,Central Interior and Appalachian Swamp Systems,B
68,68,92.000000000000000,3,2084,6,223Ba03,14710_47_48_53_54_57_59_60_61_63,Central Interior and Appalachian Floodplain Systems,UN
69,69,17.000000000000000,1,2084,1,223Ba01,14710_47_48_53_54_57_59_60_61_63,Central Interior and Appalachian Floodplain Systems,A
70,70,211.000000000000000,3,2085,120,223Ba03,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,Developed
71,71,48.000000000000000,3,2070,4,223Ba03,13100_47,North-Central Interior Dry-Mesic Oak Forest and Woodland,D
72,72,2.000000000000000,1,2070,3,223Ba01,13100_47,North-Central Interior Dry-Mesic Oak Forest and Woodland,C
73,73,149.000000000000000,3,2084,120,223Ba03,14710_47_48_53_54_57_59_60_61_63,Central Interior and Appalachian Floodplain Systems,Developed
74,74,129.000000000000000,3,2067,5,223Ba03,13050_47_48,Southern Interior Low Plateau Dry-Mesic Oak Forest,E
75,75,32.000000000000000,3,2091,120,223Ba03,15180_43_47_49_52_62_63_64_65,North-Central Interior Wet Flatwoods,Developed
76,76,58.000000000000000,1,2071,120,223Ba01,13130_47_50_51,North-Central Interior Beech-Maple Forest,Developed
77,77,65.000000000000000,3,2085,5,223Ba03,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,E
78,78,230.000000000000000,3,2084,7,223Ba03,14710_47_48_53_54_57_59_60_61_63,Central Interior and Appalachian Floodplain Systems,UE
79,79,36.000000000000000,3,2070,5,223Ba03,13100_47,North-Central Interior Dry-Mesic Oak Forest and Woodland,E
80,80,83.000000000000000,3,2091,7,223Ba03,15180_43_47_49_52_62_63_64_65,North-Central Interior Wet Flatwoods,UE
81,81,145.000000000000000,3,2091,2,223Ba03,15180_43_47_49_52_62_63_64_65,North-Central Interior Wet Flatwoods,B
82,82,6.000000000000000,3,2070,120,223Ba03,13100_47,North-Central Interior Dry-Mesic Oak Forest and Woodland,Developed
83,83,11.000000000000000,3,2079,7,223Ba03,14010_43_44_47_48_53,Central Interior Highlands Calcareous Glade and Barrens,UE
84,84,9.000000000000000,3,2070,7,223Ba03,13100_47,North-Central Interior Dry-Mesic Oak Forest and Woodland,UE
85,85,8.000000000000000,3,2085,1,223Ba03,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,A
86,86,2.000000000000000,1,2091,3,223Ba01,15180_43_47_49_52_62_63_64_65,North-Central Interior Wet Flatwoods,C
87,87,95.000000000000000,3,2091,180,223Ba03,15180_43_47_49_52_62_63_64_65,North-Central Interior Wet Flatwoods,Agriculture
88,88,67.000000000000000,3,2088,180,223Ba03,14790_41_42_47_48_50_51_53,Central Interior and Appalachian Swamp Systems,Agriculture
89,89,34.000000000000000,3,2088,120,223Ba03,14790_41_42_47_48_50_51_53,Central Interior and Appalachian Swamp Systems,Developed
90,90,11.000000000000000,3,2079,6,223Ba03,14010_43_44_47_48_53,Central Interior Highlands Calcareous Glade and Barrens,UN
91,91,59.000000000000000,3,2088,7,223Ba03,14790_41_42_47_48_50_51_53,Central Interior and Appalachian Swamp Systems,UE
92,92,1.000000000000000,3,2070,6,223Ba03,13100_47,North-Central Interior Dry-Mesic Oak Forest and Woodland,UN
93,93,352.000000000000000,3,2084,180,223Ba03,14710_47_48_53_54_57_59_60_61_63,Central Interior and Appalachian Floodplain Systems,Agriculture
94,94,42.000000000000000,1,2091,120,223Ba01,15180_43_47_49_52_62_63_64_65,North-Central Interior Wet Flatwoods,Developed
95,95,28.000000000000000,1,2071,7,223Ba01,13130_47_50_51,North-Central Interior Beech-Maple Forest,UE
96,96,3.000000000000000,1,2070,6,223Ba01,13100_47,North-Central Interior Dry-Mesic Oak Forest and Woodland,UN
97,97,1.000000000000000,1,2085,4,223Ba01,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,D
98,98,15.000000000000000,3,2072,1,223Ba03,13210_47_48_53_57,South-Central Interior Mesophytic Forest,A
99,99,3.000000000000000,3,2091,6,223Ba03,15180_43_47_49_52_62_63_64_65,North-Central Interior Wet Flatwoods,UN
100,100,223.000000000000000,3,2071,7,223Ba03,13130_47_50_51,North-Central Interior Beech-Maple Forest,UE
