"","model_label","Model_Code","refLabel","refPercent","BpS_Name","Var1","Var2","Freq","BPS_CODE","ZONE","total_count","currentPercent"
"47","13260_47_Developed","13260_47","Developed",0,"South-Central Interior/Upper Coastal Plain Flatwoods",NA,NA,NA,NA,NA,NA,NA
"48","13260_47_Water","13260_47","Water",0,"South-Central Interior/Upper Coastal Plain Flatwoods",NA,NA,NA,NA,NA,NA,NA
"49","13260_47_UN","13260_47","UN",0,"South-Central Interior/Upper Coastal Plain Flatwoods",NA,NA,NA,NA,NA,NA,NA
"50","13260_47_UE","13260_47","UE",0,"South-Central Interior/Upper Coastal Plain Flatwoods",2074,7,7,13260,47,29,24
"51","13530_47_A","13530_47","A",15,"Southern Appalachian Low-Elevation Pine Forest",NA,NA,NA,NA,NA,NA,NA
"52","13530_47_B","13530_47","B",3,"Southern Appalachian Low-Elevation Pine Forest",NA,NA,NA,NA,NA,NA,NA
"53","13530_47_C","13530_47","C",36,"Southern Appalachian Low-Elevation Pine Forest",NA,NA,NA,NA,NA,NA,NA
"54","13530_47_D","13530_47","D",43,"Southern Appalachian Low-Elevation Pine Forest",2076,4,31,13530,47,376,8
"55","13530_47_E","13530_47","E",3,"Southern Appalachian Low-Elevation Pine Forest",2076,5,250,13530,47,376,66
"56","13530_47_Agriculture","13530_47","Agriculture",0,"Southern Appalachian Low-Elevation Pine Forest",2076,180,54,13530,47,376,14
"57","13530_47_Developed","13530_47","Developed",0,"Southern Appalachian Low-Elevation Pine Forest",2076,120,13,13530,47,376,3
"58","13530_47_Water","13530_47","Water",0,"Southern Appalachian Low-Elevation Pine Forest",NA,NA,NA,NA,NA,NA,NA
"59","13530_47_UN","13530_47","UN",0,"Southern Appalachian Low-Elevation Pine Forest",2076,6,3,13530,47,376,0
"60","13530_47_UE","13530_47","UE",0,"Southern Appalachian Low-Elevation Pine Forest",2076,7,25,13530,47,376,6
"61","13630_47_53_A","13630_47_53","A",17,"Central Interior Highlands Dry Acidic Glade and Barrens",NA,NA,NA,NA,NA,NA,NA
"62","13630_47_53_B","13630_47_53","B",30,"Central Interior Highlands Dry Acidic Glade and Barrens",2078,2,1,13630,47,2400,0
"63","13630_47_53_C","13630_47_53","C",36,"Central Interior Highlands Dry Acidic Glade and Barrens",NA,NA,NA,NA,NA,NA,NA
"64","13630_47_53_D","13630_47_53","D",14,"Central Interior Highlands Dry Acidic Glade and Barrens",2078,4,49,13630,47,2400,2
"65","13630_47_53_E","13630_47_53","E",3,"Central Interior Highlands Dry Acidic Glade and Barrens",2078,5,2084,13630,47,2400,86
"66","13630_47_53_Agriculture","13630_47_53","Agriculture",0,"Central Interior Highlands Dry Acidic Glade and Barrens",2078,180,102,13630,47,2400,4
"67","13630_47_53_Developed","13630_47_53","Developed",0,"Central Interior Highlands Dry Acidic Glade and Barrens",2078,120,56,13630,47,2400,2
"68","13630_47_53_Water","13630_47_53","Water",0,"Central Interior Highlands Dry Acidic Glade and Barrens",NA,NA,NA,NA,NA,NA,NA
"69","13630_47_53_UN","13630_47_53","UN",0,"Central Interior Highlands Dry Acidic Glade and Barrens",2078,6,4,13630,47,2400,0
"70","13630_47_53_UE","13630_47_53","UE",0,"Central Interior Highlands Dry Acidic Glade and Barrens",2078,7,104,13630,47,2400,4
"71","14010_43_44_47_48_53_A","14010_43_44_47_48_53","A",58,"Central Interior Highlands Calcareous Glade and Barrens",NA,NA,NA,NA,NA,NA,NA
"72","14010_43_44_47_48_53_B","14010_43_44_47_48_53","B",7,"Central Interior Highlands Calcareous Glade and Barrens",2079,2,1,14010,47,39581,0
"73","14010_43_44_47_48_53_C","14010_43_44_47_48_53","C",23,"Central Interior Highlands Calcareous Glade and Barrens",NA,NA,NA,NA,NA,NA,NA
"74","14010_43_44_47_48_53_D","14010_43_44_47_48_53","D",10,"Central Interior Highlands Calcareous Glade and Barrens",2079,4,6,14010,47,39581,0
"75","14010_43_44_47_48_53_E","14010_43_44_47_48_53","E",2,"Central Interior Highlands Calcareous Glade and Barrens",2079,5,1,14010,47,39581,0
"76","14010_43_44_47_48_53_Agriculture","14010_43_44_47_48_53","Agriculture",0,"Central Interior Highlands Calcareous Glade and Barrens",2079,180,7116,14010,47,39581,17
"77","14010_43_44_47_48_53_Developed","14010_43_44_47_48_53","Developed",0,"Central Interior Highlands Calcareous Glade and Barrens",2079,120,2330,14010,47,39581,5
"78","14010_43_44_47_48_53_Water","14010_43_44_47_48_53","Water",0,"Central Interior Highlands Calcareous Glade and Barrens",NA,NA,NA,NA,NA,NA,NA
"79","14010_43_44_47_48_53_UN","14010_43_44_47_48_53","UN",0,"Central Interior Highlands Calcareous Glade and Barrens",2079,6,25384,14010,47,39581,64
"80","14010_43_44_47_48_53_UE","14010_43_44_47_48_53","UE",0,"Central Interior Highlands Calcareous Glade and Barrens",2079,7,4743,14010,47,39581,11
"81","14180_47_A","14180_47","A",72,"Pennyroyal Karst Plain Prairie and Barrens",NA,NA,NA,NA,NA,NA,NA
"82","14180_47_B","14180_47","B",4,"Pennyroyal Karst Plain Prairie and Barrens",NA,NA,NA,NA,NA,NA,NA
"83","14180_47_C","14180_47","C",20,"Pennyroyal Karst Plain Prairie and Barrens",2081,3,4,14180,47,16,25
"84","14180_47_D","14180_47","D",4,"Pennyroyal Karst Plain Prairie and Barrens",NA,NA,NA,NA,NA,NA,NA
"85","14180_47_E","14180_47","E",NA,"Pennyroyal Karst Plain Prairie and Barrens",NA,NA,NA,NA,NA,NA,NA
"86","14180_47_Agriculture","14180_47","Agriculture",0,"Pennyroyal Karst Plain Prairie and Barrens",2081,180,5,14180,47,16,31
"87","14180_47_Developed","14180_47","Developed",0,"Pennyroyal Karst Plain Prairie and Barrens",2081,120,3,14180,47,16,18
"88","14180_47_Water","14180_47","Water",0,"Pennyroyal Karst Plain Prairie and Barrens",NA,NA,NA,NA,NA,NA,NA
"89","14180_47_UN","14180_47","UN",0,"Pennyroyal Karst Plain Prairie and Barrens",NA,NA,NA,NA,NA,NA,NA
"90","14180_47_UE","14180_47","UE",0,"Pennyroyal Karst Plain Prairie and Barrens",2081,7,4,14180,47,16,25
"91","14710_47_48_53_54_57_59_60_61_63_A","14710_47_48_53_54_57_59_60_61_63","A",9,"Central Interior and Appalachian Floodplain Systems",2084,1,133,14710,47,108414,0
"92","14710_47_48_53_54_57_59_60_61_63_B","14710_47_48_53_54_57_59_60_61_63","B",25,"Central Interior and Appalachian Floodplain Systems",2084,2,9175,14710,47,108414,8
"93","14710_47_48_53_54_57_59_60_61_63_C","14710_47_48_53_54_57_59_60_61_63","C",6,"Central Interior and Appalachian Floodplain Systems",2084,3,57483,14710,47,108414,53
"94","14710_47_48_53_54_57_59_60_61_63_D","14710_47_48_53_54_57_59_60_61_63","D",12,"Central Interior and Appalachian Floodplain Systems",2084,4,368,14710,47,108414,0
"95","14710_47_48_53_54_57_59_60_61_63_E","14710_47_48_53_54_57_59_60_61_63","E",48,"Central Interior and Appalachian Floodplain Systems",2084,5,242,14710,47,108414,0
"96","14710_47_48_53_54_57_59_60_61_63_Agriculture","14710_47_48_53_54_57_59_60_61_63","Agriculture",0,"Central Interior and Appalachian Floodplain Systems",2084,180,22230,14710,47,108414,20
"97","14710_47_48_53_54_57_59_60_61_63_Developed","14710_47_48_53_54_57_59_60_61_63","Developed",0,"Central Interior and Appalachian Floodplain Systems",2084,120,7141,14710,47,108414,6
"98","14710_47_48_53_54_57_59_60_61_63_Water","14710_47_48_53_54_57_59_60_61_63","Water",0,"Central Interior and Appalachian Floodplain Systems",NA,NA,NA,NA,NA,NA,NA
"99","14710_47_48_53_54_57_59_60_61_63_UN","14710_47_48_53_54_57_59_60_61_63","UN",0,"Central Interior and Appalachian Floodplain Systems",2084,6,3796,14710,47,108414,3
"100","14710_47_48_53_54_57_59_60_61_63_UE","14710_47_48_53_54_57_59_60_61_63","UE",0,"Central Interior and Appalachian Floodplain Systems",2084,7,7846,14710,47,108414,7
